name,changed_network,status,tv_network,metacritc_last_info_year,tvtime_followers,tvtime_rate,no_seasons,eps_duration,age_rating,imdb_rate,rotten_tomatoes_rate,released_year,awards_won,awards_nominated
It's Always Sunny in Philadelphia,0.0,renewed,FX,2020,0.021994356501758613,0.7831858407079646,14.0,short,18+,0.9090909090909092,0.9574468085106383,2005.0,0.0,3.0
It's Bruno,0.0,,NETFLIX,2018,0.0026963813535908015,0.7367256637168142,1.0,short,7+,0.7402597402597403,1.0,2019.0,0.0,1.0
"I Wanna Marry ""Harry""",0.0,canceled,FOX,2013,6.0193850180538245e-05,0.6592920353982301,1.0,normal,,0.7970011361481754,0.7140071439262861,,0.0,0.0
iZombie,0.0,end,THE CW,2018,0.0022570610568359664,0.6451955745399599,,normal,16+,0.7922077922077922,0.9042553191489362,2015.0,0.0,0.0
Jack Reacher,0.0,,AMAZON,2020,2.9952575329644325e-05,0.9201426067104068,,normal,,0.7074203518171642,0.77120253174704,,0.0,0.0
Jack Ryan,0.0,renewed,AMAZON,2020,0.000857610797824014,0.7419312859894208,,normal,,0.7638996293839587,0.7760206718038188,,0.0,0.0
Jaguar,0.0,,NETFLIX,2020,0.00168088078759539,0.6327433628318584,,normal,,0.6785093430863149,0.7839195574716284,,0.0,0.0
Ja'mie: Private School Girl,0.0,canceled,HBO,2013,0.0009152496572414934,0.763274336283186,1.0,short,,0.8088301835906965,0.7248427991087106,,0.0,0.0
Jamtara,0.0,,NETFLIX,2019,0.0005971027848244519,0.9026548672566372,,normal,,0.6776714671005746,0.7839500934688965,,0.0,0.0
Jane the Virgin,0.0,end,THE CW,2018,0.006856218890947234,0.7853273778154369,,normal,7+,0.7792207792207793,1.0,2014.0,0.0,3.0
Japan Sinks: 2020,0.0,,NETFLIX,2020,0.0006710098622643454,0.6327433628318584,,normal,,0.6785093430863149,0.7839195574716284,,0.0,0.0
Jean-Claude Van Johnson,0.0,canceled,AMAZON,2017,0.004158355729198694,0.7477876106194691,1.0,short,18+,0.7662337662337663,0.6170212765957447,2016.0,0.0,0.0
Jennifer Falls,0.0,canceled,TVL,2013,0.0003516360168819932,0.7035398230088497,1.0,short,,0.8375093148406498,0.8431129867059036,,0.0,0.0
Jinn,0.0,,NETFLIX,2019,0.006332479648848998,0.5774336283185841,1.0,short,,0.8254324523659958,0.7449891747992159,,0.0,0.0
Jiva!,0.0,,NETFLIX,2020,0.0006710098622643454,0.6327433628318584,,normal,,0.6785093430863149,0.7839195574716284,,0.0,0.0
Jonah from Tonga,0.0,canceled,HBO,2014,0.00027325409686273117,0.59070796460177,1.0,short,,0.809305911936286,0.7255684359024988,,0.0,0.0
Julie and the Phantoms,0.0,,NETFLIX,2020,0.0006710098622643454,0.6327433628318584,,normal,,0.6785093430863149,0.7839195574716284,,0.0,0.0
Julie's Greenroom,0.0,canceled,NETFLIX,2016,4.85015195699301e-05,0.7234513274336284,1.0,short,,0.8441558441558442,0.6210539364138308,2017.0,0.0,0.0
Ju-on: Origins,0.0,,NETFLIX,2020,0.0006710098622643454,0.6327433628318584,,normal,,0.6785093430863149,0.7839195574716284,,0.0,0.0
Jurassic World: Camp Cretaceous,0.0,renewed,NETFLIX,2020,0.00020201748999439635,0.504424778761062,1.0,short,,0.8215064911778632,0.7405405834782797,,0.0,0.0
Just Add Magic,0.0,,AMAZON,2018,0.0011594894522186413,0.8783185840707965,3.0,short,7+,0.8311688311688311,0.7917576663666211,2015.0,0.0,0.0
Just Beyond,0.0,,DISNEY,2020,0.001955722731824994,0.994100294985251,,normal,,0.7057116735836918,0.7735539873982731,,0.0,0.0
Justice League Dark,0.0,,HBO,2020,0.00023990930215840424,0.8838114379204522,,normal,,0.6849914150086759,0.7723353696119545,,0.0,0.0
Justice League: The Director's Cut,0.0,end,HBO,2020,4.4604076033060716e-05,0.8635693643505482,,normal,,0.6997970168750892,0.7750112964252103,,0.0,0.0
Justified,0.0,end,FX,2014,0.01397514990000892,0.8517699115044248,6.0,normal,18+,0.8831168831168831,0.9680851063829787,2010.0,2.0,8.0
Kabaneri of the Iron Fortress: The Battle of Unato,0.0,,NETFLIX,2019,0.0007381325009548737,0.9535398230088498,1.0,short,,0.8254324523659958,0.7449891747992159,,0.0,0.0
Kakegurui,0.0,,NETFLIX,2019,0.019044208268989428,0.9690265486725667,2.0,short,16+,0.7012987012987013,0.5747469002439866,2017.0,0.0,0.0
Kamp Koral,0.0,,CBS,2020,0.00190108634742851,0.994100343565026,,normal,,0.7072081155736424,0.7734142053226963,,0.0,0.0
Kaos,0.0,,NETFLIX,2020,0.004658960699045473,0.9221564701231386,0.0,normal,,0.8251420734143367,0.7447791412215777,,0.0,0.0
Katla,0.0,,NETFLIX,2020,0.0006710098622643454,0.6327433628318584,,normal,,0.6785093430863149,0.7839195574716284,,0.0,0.0
Katy Keene,0.0,canceled,THE CW,2019,0.0041068228646556435,0.6814159292035399,1.0,normal,,0.8406704927336154,0.7519173274635327,,0.0,0.0
Kavalier and Clay,0.0,end,SHOWTIME,2020,0.00015295919277634205,0.851769953800087,,normal,,0.6825121447933633,0.7828054421800329,,0.0,0.0
Kenan,0.0,delayed,NBC,2020,0.0001668322358421033,0.9153258246178599,,normal,,0.6735924133173276,0.7853792040749865,,0.0,0.0
Kengan Ashura,0.0,,NETFLIX,2019,0.003178581728957919,0.9712389380530976,2.0,short,,0.8051948051948052,0.8314552650238441,2019.0,0.0,0.0
Kevin Can Wait,0.0,canceled,CBS,2017,0.006104046152660265,0.7035398230088497,2.0,short,,0.7868528270537049,0.7040776445359864,,0.0,0.0
Kevin From Work,0.0,canceled,ABC,2015,0.001577165484586477,0.7212389380530975,1.0,short,,0.7747192994760583,0.6905202560874496,,0.0,0.0
Kevin (Probably) Saves the World,0.0,canceled,ABC,2017,0.004222013973634227,0.7345132743362832,1.0,normal,,0.7729483266506525,0.6885577921329413,,0.0,0.0
Kicking and Screaming,0.0,canceled,FOX,2016,0.0014817502928134894,0.6098820058997051,,normal,,0.6882438423713393,0.7699084506546755,,0.0,0.0
Kidding,0.0,canceled,SHOWTIME,2019,0.0098527372612058,0.8982300884955754,2.0,short,,0.8375359176898587,0.7464254199116491,,0.0,1.0
Kids Say the Darndest Things,0.0,canceled,ABC,2019,0.00011778940466983023,0.8274336283185841,1.0,normal,7+,0.16883116883116883,0.7688721870034047,2019.0,0.0,0.0
Killer Camp,0.0,,THE CW,2020,0.000251168583487138,0.7324588810483991,,normal,,0.6932859108425535,0.7785626231730607,,0.0,0.0
Killer Women,0.0,canceled,ABC,2013,0.0005135964483030098,0.7035398230088497,1.0,normal,,0.7461698203354729,0.6921291272642256,,0.0,0.0
Killjoys,0.0,end,SYFY,2019,0.015236838982749915,0.8827433628318584,5.0,normal,,0.835581150134747,0.7436466470005995,,0.0,0.0
